cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-56.5,-16.5,3.5,0.009164447516728215,25928.0,38.07% Temporal_Sup_L,48.81% Unknown,,33.48% no_label,59.09% Background
2.0,57.5,-10.5,3.5,0.009971328659949524,20384.0,55.69% Temporal_Sup_R,45.76% Unknown,,41.09% no_label,57.93% Background
3.0,-4.5,3.5,65.5,0.006683347640563282,3544.0,75.62% Supp_Motor_Area_L,41.76% ctx_lh_G_front_sup; 35.89% Unknown,51.24% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),76.07% GM_Premotor_cortex_BA6_L,64.11% Background; 32.05% Brodmann_area_6
4.0,55.5,-4.5,43.5,0.007905049984141082,3352.0,71.84% Precentral_R,42.00% Unknown; 35.56% ctx_rh_G_precentral,80.43% Right_Precentral_Gyrus,69.21% GM_Premotor_cortex_BA6_R,66.59% Background; 25.06% Brodmann_area_6
5.0,-56.5,-8.5,47.5,0.009781918281342864,2968.0,58.76% Postcentral_L,50.13% Unknown,70.62% Left_Precentral_Gyrus; 25.61% Left_Postcentral_Gyrus,30.73% GM_Primary_somatosensory_cortex_BA1_L; 29.65% no_label,62.80% Background
6.0,33.5,47.5,31.5,0.0059960370386640234,600.0,97.33% Frontal_Mid_2_R,45.33% Unknown; 37.33% ctx_rh_G_front_middle,100.00% Right_Frontal_Pole,100.00% no_label,45.33% Background; 41.33% Brodmann_area_9
7.0,39.5,59.5,-8.5,0.006514466968297526,552.0,72.46% Frontal_Mid_2_R,56.52% ctx_rh_G_orbital; 26.09% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,62.32% Background; 27.54% Brodmann_area_10
8.0,-18.5,63.5,17.5,0.006832863698498561,520.0,96.92% Frontal_Sup_2_L,38.46% ctx_lh_G_front_middle; 29.23% Unknown,100.00% Left_Frontal_Pole,100.00% no_label,67.69% Brodmann_area_10; 32.31% Background
9.0,55.5,-52.5,-2.5,0.006257573632394959,464.0,60.34% Temporal_Mid_R; 39.66% Temporal_Inf_R,50.00% ctx_rh_G_temporal_inf; 29.31% Right-Cerebral-White-Matter,55.17% Right_Middle_Temporal_Gyrus_temporooccipital_part; 44.83% Right_Lateral_Occipital_Cortex_inferior_division,51.72% GM_Visual_cortex_V5_R; 46.55% no_label,53.45% Background; 43.10% Brodmann_area_37
10.0,-54.5,19.5,13.5,0.006506968156567642,448.0,50.00% Frontal_Inf_Tri_L; 48.21% Frontal_Inf_Oper_L,42.86% Unknown; 30.36% ctx_lh_G_front_inf-Opercular,85.71% Left_Inferior_Frontal_Gyrus_pars_opercularis,83.93% GM_Broca's_area_BA44_L,41.07% Background; 30.36% Brodmann_area_44; 28.57% Brodmann_area_45
11.0,-18.5,-66.5,47.5,0.006836208971027209,392.0,100.00% Parietal_Sup_L,65.31% Unknown,100.00% Left_Lateral_Occipital_Cortex_superior_division,57.14% GM_Superior_parietal_lobule_7A_L; 32.65% GM_Superior_parietal_lobule_7P_L,53.06% Brodmann_area_7; 46.94% Background
12.0,31.5,-64.5,45.5,0.00644582432737066,352.0,68.18% Angular_R; 25.00% Occipital_Sup_R,47.73% Right-Cerebral-White-Matter; 27.27% ctx_rh_S_intrapariet_and_P_trans,100.00% Right_Lateral_Occipital_Cortex_superior_division,63.64% GM_Superior_parietal_lobule_7A_R,65.91% Background; 34.09% Brodmann_area_7
13.0,-52.5,13.5,31.5,0.006464460723881804,344.0,58.14% Frontal_Inf_Tri_L; 27.91% Frontal_Inf_Oper_L,67.44% Unknown; 27.91% ctx_lh_G_front_inf-Opercular,44.19% Left_Inferior_Frontal_Gyrus_pars_opercularis; 44.19% Left_Middle_Frontal_Gyrus,95.35% GM_Broca's_area_BA44_L,51.16% Brodmann_area_9; 48.84% Background
14.0,51.5,-56.5,35.5,0.006868982005344574,344.0,55.81% Angular_R; 44.19% Parietal_Inf_R,44.19% Right-Cerebral-White-Matter; 25.58% ctx_rh_G_pariet_inf-Angular,88.37% Right_Angular_Gyrus,100.00% GM_Inferior_parietal_lobule_Pga_R,60.47% Background; 39.53% Brodmann_area_40
15.0,-32.5,-68.5,53.5,0.006101362779736519,320.0,77.50% Parietal_Sup_L,60.00% ctx_lh_G_pariet_inf-Angular,100.00% Left_Lateral_Occipital_Cortex_superior_division,50.00% GM_Inferior_parietal_lobule_Pga_L; 25.00% GM_Superior_parietal_lobule_7A_L,85.00% Background
16.0,53.5,27.5,1.5,0.006048451738957412,312.0,92.31% Frontal_Inf_Tri_R,48.72% ctx_rh_G_front_inf-Triangul; 46.15% Unknown,89.74% Right_Inferior_Frontal_Gyrus_pars_triangularis,100.00% GM_Broca's_area_BA45_R,48.72% Background; 41.03% Brodmann_area_45
17.0,33.5,63.5,-12.5,0.006206785160530772,288.0,63.89% Frontal_Sup_2_R; 27.78% no_label,47.22% Unknown; 44.44% ctx_rh_G_and_S_frontomargin,100.00% Right_Frontal_Pole,100.00% no_label,58.33% Background; 41.67% Brodmann_area_10
18.0,-50.5,27.5,-8.5,0.006103847271708005,272.0,82.35% Frontal_Inf_Orb_2_L,67.65% Unknown; 29.41% ctx_lh_G_front_inf-Orbital,67.65% Left_Frontal_Orbital_Cortex; 32.35% Left_Inferior_Frontal_Gyrus_pars_triangularis,97.06% GM_Broca's_area_BA45_L,88.24% Background
19.0,-38.5,-20.5,-16.5,0.006365154433296993,256.0,71.88% Hippocampus_L,78.12% Left-Hippocampus,75.00% Left_Hippocampus,81.25% GM_Hippocampus_cornu_ammonis_L,100.00% Background
20.0,-0.5,29.5,53.5,0.006076347263109299,248.0,67.74% Frontal_Sup_Medial_L; 32.26% Frontal_Sup_Medial_R,41.94% Unknown; 35.48% ctx_rh_G_front_sup,48.39% Right_Superior_Frontal_Gyrus; 48.39% Left_Superior_Frontal_Gyrus,38.71% no_label; 35.48% GM_Premotor_cortex_BA6_R; 25.81% GM_Premotor_cortex_BA6_L,64.52% Background
21.0,63.5,-28.5,-18.5,0.0066229702749600015,240.0,86.67% Temporal_Inf_R,53.33% Unknown; 40.00% ctx_rh_G_temporal_middle,70.00% Right_Inferior_Temporal_Gyrus_posterior_division; 30.00% Right_Middle_Temporal_Gyrus_posterior_division,100.00% no_label,76.67% Background
22.0,55.5,27.5,11.5,0.006542048352802622,232.0,100.00% Frontal_Inf_Tri_R,55.17% Unknown; 44.83% ctx_rh_G_front_inf-Triangul,100.00% Right_Inferior_Frontal_Gyrus_pars_triangularis,100.00% GM_Broca's_area_BA45_R,44.83% Brodmann_area_46; 31.03% Background
23.0,-24.5,-4.5,-18.5,0.006337057477955161,232.0,86.21% Amygdala_L,86.21% Left-Amygdala,100.00% Left_Amygdala,68.97% GM_Amygdala_laterobasal_group_L,82.76% Amygdala
24.0,-4.5,-70.5,43.5,0.006100323533506266,224.0,100.00% Precuneus_L,82.14% Left-Cerebral-White-Matter,100.00% Left_Precuneous_Cortex,67.86% GM_Superior_parietal_lobule_7P_L; 32.14% GM_Superior_parietal_lobule_7A_L,85.71% Background
25.0,5.5,-22.5,43.5,0.006149860668099589,216.0,62.96% Cingulate_Mid_R; 37.04% Cingulate_Mid_L,81.48% Unknown,62.96% Right_Cingulate_Gyrus_posterior_division; 33.33% Left_Cingulate_Gyrus_posterior_division,55.56% GM_Premotor_cortex_BA6_R; 25.93% GM_Primary_motor_cortex_BA4a_L,74.07% Background; 25.93% Brodmann_area_31
26.0,-56.5,-50.5,-10.5,0.00596815044991672,208.0,69.23% Temporal_Mid_L; 30.77% Temporal_Inf_L,,69.23% Left_Middle_Temporal_Gyrus_temporooccipital_part; 26.92% Left_Inferior_Temporal_Gyrus_temporooccipital_part,100.00% no_label,61.54% Background; 26.92% Brodmann_area_37
27.0,-30.5,-80.5,33.5,0.006092815976589918,200.0,84.00% Occipital_Mid_L,40.00% ctx_lh_G_pariet_inf-Angular; 36.00% Unknown,100.00% Left_Lateral_Occipital_Cortex_superior_division,92.00% GM_Inferior_parietal_lobule_PGp_L,56.00% Background; 44.00% Brodmann_area_19
28.0,11.5,-68.5,41.5,0.0062720103887841105,192.0,95.83% Precuneus_R,58.33% Right-Cerebral-White-Matter; 37.50% ctx_rh_S_parieto_occipital,100.00% Right_Precuneous_Cortex,29.17% GM_Superior_parietal_lobule_7A_R; 25.00% GM_Superior_parietal_lobule_7P_R; 25.00% no_label,62.50% Background; 37.50% Brodmann_area_7
29.0,3.5,-12.5,61.5,0.006090280580489586,192.0,95.83% Supp_Motor_Area_R,66.67% ctx_rh_G_front_sup; 29.17% Right-Cerebral-White-Matter,54.17% Right_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex); 41.67% Right_Precentral_Gyrus,95.83% GM_Premotor_cortex_BA6_R,75.00% Background; 25.00% Brodmann_area_6
30.0,29.5,23.5,45.5,0.00640734335731553,184.0,82.61% Frontal_Mid_2_R,52.17% ctx_rh_G_front_middle,100.00% Right_Middle_Frontal_Gyrus,100.00% no_label,52.17% Brodmann_area_8; 47.83% Background
31.0,-60.5,-0.5,29.5,0.00647814043433122,184.0,78.26% Precentral_L,52.17% Unknown; 43.48% ctx_lh_G_precentral,100.00% Left_Precentral_Gyrus,73.91% GM_Premotor_cortex_BA6_L; 26.09% no_label,56.52% Brodmann_area_6; 43.48% Background
32.0,23.5,-58.5,-26.5,0.006383876053049513,184.0,100.00% Cerebelum_6_R,100.00% Right-Cerebellum-Cortex,100.00% no_label,100.00% no_label,100.00% Background
33.0,63.5,1.5,17.5,0.0065240849190476265,176.0,68.18% Postcentral_R; 27.27% Precentral_R,77.27% Unknown,100.00% Right_Precentral_Gyrus,86.36% GM_Primary_somatosensory_cortex_BA3b_R,54.55% Background; 45.45% Brodmann_area_6
34.0,-60.5,-62.5,-8.5,0.006555494767698375,176.0,81.82% Temporal_Inf_L,63.64% ctx_lh_G_temporal_inf; 31.82% Unknown,68.18% Left_Lateral_Occipital_Cortex_inferior_division; 27.27% Left_Middle_Temporal_Gyrus_temporooccipital_part,100.00% no_label,77.27% Background
35.0,-16.5,-74.5,51.5,0.006332887527109547,176.0,77.27% Parietal_Sup_L,54.55% Unknown; 36.36% ctx_lh_G_parietal_sup,100.00% Left_Lateral_Occipital_Cortex_superior_division,100.00% GM_Superior_parietal_lobule_7P_L,90.91% Background
36.0,17.5,-62.5,29.5,0.00644973051246433,168.0,80.95% Precuneus_R,52.38% Unknown; 42.86% ctx_rh_S_parieto_occipital,100.00% Right_Precuneous_Cortex,85.71% no_label,76.19% Background
37.0,35.5,5.5,3.5,0.005998623668260518,168.0,71.43% Insula_R,47.62% Unknown; 38.10% ctx_rh_S_circular_insula_sup,100.00% Right_Insular_Cortex,100.00% no_label,100.00% Background
38.0,-0.5,-70.5,25.5,0.006808593248327573,168.0,85.71% Cuneus_L,80.95% Unknown,66.67% Left_Precuneous_Cortex,61.90% GM_Visual_cortex_V2_BA18_L,66.67% Brodmann_area_31; 33.33% Background
39.0,-4.5,35.5,49.5,0.006081510498188436,160.0,100.00% Frontal_Sup_Medial_L,75.00% ctx_lh_G_front_sup,100.00% Left_Superior_Frontal_Gyrus,100.00% no_label,70.00% Brodmann_area_8; 30.00% Background
40.0,7.5,15.5,-26.5,0.006229064054787159,160.0,80.00% Rectus_R,90.00% ctx_rh_G_rectus,95.00% Right_Subcallosal_Cortex,100.00% no_label,60.00% Brodmann_area_11; 40.00% Background
