cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-56.5,-22.5,9.5,0.00925266171792256,28000.0,37.09% Temporal_Sup_L,47.54% Unknown,,35.14% no_label,59.63% Background
2.0,57.5,-10.5,3.5,0.010040558764153735,20776.0,57.91% Temporal_Sup_R,45.63% Unknown,,39.47% no_label,57.76% Background
3.0,-2.5,3.5,65.5,0.006892088529476091,4904.0,69.82% Supp_Motor_Area_L; 28.38% Supp_Motor_Area_R,37.03% Unknown; 35.73% ctx_lh_G_front_sup,46.17% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),69.66% GM_Premotor_cortex_BA6_L; 28.06% GM_Premotor_cortex_BA6_R,67.54% Background; 31.00% Brodmann_area_6
4.0,-56.5,-10.5,49.5,0.010062904377379434,3536.0,53.62% Postcentral_L; 25.34% no_label,50.45% Unknown,70.81% Left_Precentral_Gyrus,31.45% no_label; 26.92% GM_Premotor_cortex_BA6_L; 26.24% GM_Primary_somatosensory_cortex_BA1_L,64.71% Background
5.0,55.5,-4.5,43.5,0.00905192855784244,2696.0,73.29% Precentral_R,43.32% Unknown; 35.31% ctx_rh_G_precentral,83.68% Right_Precentral_Gyrus,73.59% GM_Premotor_cortex_BA6_R,64.39% Background; 27.30% Brodmann_area_6
6.0,-20.5,-68.5,51.5,0.006828408437867125,952.0,91.60% Parietal_Sup_L,65.55% Unknown,100.00% Left_Lateral_Occipital_Cortex_superior_division,47.06% GM_Superior_parietal_lobule_7A_L; 26.89% GM_Superior_parietal_lobule_7P_L,50.42% Brodmann_area_7; 49.58% Background
7.0,-18.5,63.5,17.5,0.006815137982658752,616.0,87.01% Frontal_Sup_2_L,41.56% ctx_lh_G_front_middle; 29.87% Unknown,100.00% Left_Frontal_Pole,100.00% no_label,63.64% Brodmann_area_10; 36.36% Background
8.0,51.5,-52.5,53.5,0.005932062243421872,504.0,68.25% Parietal_Inf_R; 28.57% Angular_R,47.62% ctx_rh_G_pariet_inf-Angular; 26.98% Right-Cerebral-White-Matter,77.78% Right_Angular_Gyrus,82.54% GM_Inferior_parietal_lobule_Pga_R,61.90% Background; 38.10% Brodmann_area_40
9.0,39.5,59.5,-10.5,0.006343534734520701,496.0,75.81% Frontal_Mid_2_R,58.06% ctx_rh_G_orbital; 27.42% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,61.29% Background; 33.87% Brodmann_area_10
10.0,61.5,-0.5,19.5,0.006660962828480807,488.0,44.26% Postcentral_R; 27.87% Rolandic_Oper_R; 26.23% Precentral_R,50.82% Unknown,100.00% Right_Precentral_Gyrus,57.38% GM_Primary_somatosensory_cortex_BA3b_R; 31.15% GM_Broca's_area_BA44_R,47.54% Background; 42.62% Brodmann_area_6
11.0,-54.5,13.5,23.5,0.006087323935816483,392.0,55.10% Frontal_Inf_Oper_L; 40.82% Frontal_Inf_Tri_L,73.47% Unknown,59.18% Left_Inferior_Frontal_Gyrus_pars_opercularis; 34.69% Left_Middle_Frontal_Gyrus,97.96% GM_Broca's_area_BA44_L,67.35% Background; 32.65% Brodmann_area_9
12.0,-0.5,-12.5,39.5,0.0060511551303218825,392.0,59.18% Cingulate_Mid_L; 40.82% Cingulate_Mid_R,73.47% Unknown,30.61% Left_Cingulate_Gyrus_posterior_division; 28.57% Left_Cingulate_Gyrus_anterior_division,38.78% WM_Cingulum_L,69.39% Background; 28.57% Brodmann_area_24
13.0,-52.5,29.5,-10.5,0.006730523669039426,368.0,84.78% Frontal_Inf_Orb_2_L,82.61% Unknown,58.70% Left_Frontal_Orbital_Cortex; 41.30% Left_Inferior_Frontal_Gyrus_pars_triangularis,95.65% GM_Broca's_area_BA45_L,69.57% Background; 30.43% Brodmann_area_47
14.0,-64.5,-56.5,-6.5,0.006414924650777911,344.0,72.09% Temporal_Mid_L,37.21% ctx_lh_G_temporal_middle; 32.56% Unknown,100.00% Left_Middle_Temporal_Gyrus_temporooccipital_part,100.00% no_label,83.72% Background
15.0,-24.5,-4.5,-18.5,0.006380046228281198,312.0,84.62% Amygdala_L,89.74% Left-Amygdala,100.00% Left_Amygdala,74.36% GM_Amygdala_laterobasal_group_L,79.49% Amygdala
16.0,-50.5,-66.5,-12.5,0.005963027258985676,256.0,75.00% Occipital_Inf_L; 25.00% Temporal_Inf_L,46.88% Unknown; 40.62% ctx_lh_G_temporal_inf,96.88% Left_Lateral_Occipital_Cortex_inferior_division,100.00% no_label,75.00% Background
17.0,7.5,65.5,-4.5,0.0061747952131554484,224.0,53.57% Frontal_Med_Orb_R; 35.71% no_label,64.29% ctx_rh_G_and_S_transv_frontopol,100.00% Right_Frontal_Pole,100.00% no_label,75.00% Background; 25.00% Brodmann_area_10
18.0,55.5,-42.5,41.5,0.006044454424856947,208.0,88.46% SupraMarginal_R,50.00% ctx_rh_G_pariet_inf-Angular; 50.00% Right-Cerebral-White-Matter,100.00% Right_Supramarginal_Gyrus_posterior_division,96.15% GM_Inferior_parietal_lobule_PFm_R,61.54% Brodmann_area_40; 38.46% Background
19.0,-40.5,55.5,-12.5,0.006017014097708922,208.0,46.15% Frontal_Mid_2_L; 26.92% OFClat_L; 26.92% no_label,69.23% Unknown,100.00% Left_Frontal_Pole,100.00% no_label,53.85% Background; 30.77% Brodmann_area_11
20.0,7.5,-76.5,55.5,0.006072704505641013,192.0,100.00% Precuneus_R,62.50% Unknown,54.17% Right_Lateral_Occipital_Cortex_superior_division; 41.67% Right_Precuneous_Cortex,91.67% GM_Superior_parietal_lobule_7P_R,91.67% Background
21.0,53.5,-50.5,-12.5,0.0065536598752563196,192.0,100.00% Temporal_Inf_R,62.50% Right-Cerebral-White-Matter; 29.17% ctx_rh_G_temporal_inf,91.67% Right_Inferior_Temporal_Gyrus_temporooccipital_part,100.00% no_label,62.50% Background; 25.00% Brodmann_area_20
22.0,-54.5,19.5,13.5,0.006200376005532841,192.0,83.33% Frontal_Inf_Tri_L,45.83% Unknown; 29.17% ctx_lh_G_front_inf-Opercular,91.67% Left_Inferior_Frontal_Gyrus_pars_opercularis,62.50% GM_Broca's_area_BA44_L; 37.50% GM_Broca's_area_BA45_L,62.50% Brodmann_area_45; 37.50% Background
23.0,-0.5,-60.5,63.5,0.00581039780412208,176.0,72.73% Precuneus_L,59.09% ctx_lh_G_precuneus; 40.91% Unknown,81.82% Left_Precuneous_Cortex,68.18% GM_Superior_parietal_lobule_7A_L,81.82% Background
24.0,-14.5,-52.5,3.5,0.005894012622196566,176.0,100.00% Calcarine_L,50.00% Unknown; 36.36% ctx_lh_S_calcarine,100.00% Left_Precuneous_Cortex,45.45% GM_Visual_cortex_V1_BA17_L; 27.27% WM_Callosal_body,40.91% Background; 36.36% Brodmann_area_30
25.0,11.5,-64.5,33.5,0.006355387582020326,176.0,95.45% Precuneus_R,40.91% Right-Cerebral-White-Matter; 36.36% ctx_rh_S_parieto_occipital,100.00% Right_Precuneous_Cortex,59.09% no_label; 27.27% GM_Superior_parietal_lobule_7M_R,50.00% Brodmann_area_7; 50.00% Background
